Date,Open,High,Low,Close,Adj Close,Volume
2020-12-07,362.100006,374.299988,358.049988,360.600006,360.531616,3199944
2020-12-08,362.649994,364.350006,353.000000,355.200012,355.132629,2373827
2020-12-09,355.950012,368.950012,350.100006,362.850006,362.781189,2324761
2020-12-10,364.700012,364.700012,352.000000,355.200012,355.132629,1892985
2020-12-11,355.200012,363.399994,351.250000,358.700012,358.631989,2054647
2020-12-14,360.000000,362.299988,354.500000,358.950012,358.881927,1274108
2020-12-15,359.000000,363.899994,352.000000,358.700012,358.631989,1570530
2020-12-16,356.500000,361.250000,355.149994,358.850006,358.781952,1303648
2020-12-17,360.649994,373.200012,360.049988,362.200012,362.131317,3656611
2020-12-18,363.700012,364.049988,353.000000,361.850006,361.781372,1170853
2020-12-21,359.750000,365.750000,322.299988,336.149994,336.086243,2324951
2020-12-22,327.000000,361.799988,315.000000,358.549988,358.481995,2554746
2020-12-23,361.700012,371.950012,359.000000,369.850006,369.779846,2550675
2020-12-24,371.250000,373.000000,364.000000,368.549988,368.480103,2634135
2020-12-28,370.100006,377.649994,365.000000,368.899994,368.830017,2615574
2020-12-29,371.799988,378.299988,364.149994,374.600006,374.528961,1669951
2020-12-30,377.000000,389.649994,369.500000,380.399994,380.327850,3641617
2020-12-31,380.100006,384.399994,373.549988,375.600006,375.528778,1078667
2021-01-01,377.399994,379.799988,374.100006,376.799988,376.728516,785857
2021-01-04,380.049988,381.799988,371.000000,375.600006,375.528778,1278975
2021-01-05,375.399994,376.799988,371.000000,373.649994,373.579132,1271457
2021-01-06,375.399994,377.000000,365.600006,369.399994,369.329926,1210896
2021-01-07,371.500000,375.000000,366.000000,368.200012,368.130188,1274628
2021-01-08,371.450012,374.500000,367.000000,369.350006,369.279968,1133002
2021-01-11,372.000000,373.500000,361.500000,365.250000,365.180725,1289499
2021-01-12,365.299988,370.000000,364.000000,365.899994,365.830597,1166871
2021-01-13,367.299988,369.899994,355.100006,363.799988,363.730988,1171644
2021-01-14,364.600006,364.600006,353.000000,361.100006,361.031525,949106
2021-01-15,360.500000,368.000000,357.350006,359.950012,359.881744,1026453
2021-01-18,362.000000,362.100006,341.000000,352.250000,352.183197,956310
2021-01-19,349.950012,360.850006,349.299988,358.700012,358.631989,903527
2021-01-20,358.250000,364.399994,356.450012,362.399994,362.331268,791203
2021-01-21,365.000000,365.600006,354.000000,356.750000,356.682343,1014163
2021-01-22,356.750000,365.000000,348.500000,363.600006,363.531036,929784
2021-01-25,369.450012,389.000000,368.000000,377.649994,377.578369,2678649
2021-01-27,375.000000,385.000000,371.750000,380.100006,380.027924,1432418
2021-01-28,377.950012,382.200012,363.399994,379.299988,379.228058,1133260
2021-01-29,382.299988,389.399994,377.750000,381.049988,380.977722,1112580
2021-02-01,385.250000,391.200012,381.049988,389.100006,389.026215,2008106
2021-02-02,392.000000,406.950012,387.200012,401.100006,401.023926,1676396
2021-02-03,405.799988,413.149994,382.149994,389.649994,389.576080,1325312
2021-02-04,395.799988,400.000000,386.000000,388.049988,387.976379,652627
2021-02-05,391.000000,395.350006,379.000000,382.049988,381.977539,441742
2021-02-08,385.750000,388.649994,380.549988,382.700012,382.627441,968925
2021-02-09,384.000000,385.450012,380.149994,382.850006,382.777405,825573
2021-02-10,384.899994,384.899994,376.200012,382.299988,382.227478,786555
2021-02-11,384.250000,390.000000,377.149994,379.200012,379.128082,909606
2021-02-12,381.500000,383.399994,378.250000,382.549988,382.477448,1219553
2021-02-15,387.000000,435.000000,386.100006,426.950012,426.869049,4704910
2021-02-16,441.000000,508.899994,437.000000,497.000000,496.905731,9004169
2021-02-17,521.000000,542.799988,497.200012,509.950012,509.853302,5856367
2021-02-18,515.000000,538.000000,506.600006,509.600006,509.503357,3727434
2021-02-19,513.000000,519.900024,458.649994,497.649994,497.555603,2497892
2021-02-22,502.500000,510.200012,490.000000,497.950012,497.855560,1714429
2021-02-23,507.000000,508.450012,478.000000,486.000000,485.907837,899932
2021-02-24,490.000000,509.049988,474.100006,500.149994,500.055145,847307
2021-02-25,504.000000,508.250000,495.100006,500.399994,500.305084,1189419
2021-02-26,490.100006,518.950012,488.049988,512.200012,512.102844,1551014
2021-03-01,523.299988,529.450012,516.500000,525.450012,525.350342,1103126
2021-03-02,530.000000,584.450012,528.049988,574.299988,574.191040,3268799
2021-03-03,588.000000,689.150024,584.000000,662.750000,662.624329,7899553
2021-03-04,645.000000,701.700012,630.000000,688.750000,688.619385,4035492
2021-03-05,698.000000,724.700012,677.049988,700.349976,700.217163,2833940
2021-03-08,717.900024,749.450012,706.000000,716.200012,716.064148,1884720
2021-03-09,729.000000,729.400024,680.849976,704.500000,704.366394,1667389
2021-03-10,710.000000,725.000000,685.099976,717.750000,717.613892,1729560
2021-03-12,728.000000,745.000000,728.000000,738.000000,737.860046,2474722
2021-03-15,754.000000,758.700012,742.000000,749.099976,748.957886,1916677
2021-03-16,755.849976,755.849976,742.000000,747.599976,747.458191,1378624
2021-03-17,747.000000,778.950012,740.000000,744.000000,743.858887,1872965
